ID	System	Method	Sample_code	Sampling_date	Replicate	Weight before Kempson	Weight	Arachnida_Acarina_20	Arachnida_Araneae_1	Arachnida_Araneae_5	Arachnida_Pseudoscorpiones_20	Arachnida_Opiliones_10	Arachnida_Scorpiones_10	Arachnida_Palpigradi_10	 Malac._Isopoda_10	Myriapoda_Symphyla_20	Myriapoda_Diplopoda_10	Myriapoda_Diplopoda_20	Myriapoda_Chilopoda_10	Myriapoda_Chilopoda_20	Myriapoda_Pauropoda_20	Entognatha_Collembola_1	Entognatha_Collembola_2	Entognatha_Collembola_4	Entognatha_Collembola_6	Entognatha_Collembola_8	Entognatha_Collembola_10	Entognatha_Collembola_20	Entognatha_Diplura_20	Entognatha_Protura_20	Insecta_Coleoptera_1	Insecta_Coleoptera_5	Insecta_Coleoptera_10	Insecta_Coleoptera_15	Insecta_Coleoptera_20	Insecta_L-Coleoptera_10	Insecta_Diptera_1	Insecta_L-Diptera_10	Insecta_Hymenoptera_1	Insecta_Hymenoptera_5	Insecta_L-Hymenoptera_10	Insecta_Hemiptera_1	Insecta_N-Hemiptera_10	Insecta_Psocoptera_1	Insecta_Thysanoptera_1
INTJ-K 2_1	jagode	int	INTJ-K 2	2023-04-20	1	1.562	1.4020000000000001	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
INTJ-K 2_2	jagode	int	INTJ-K 2	2023-04-20	2	1.5050000000000001	1.334	12	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
INTJ-K 2_3	jagode	int	INTJ-K 2	2023-04-20	3	1.478	1.3960000000000001	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	14	0	2	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0
INTJ-K 3_1	jagode	int	INTJ-K 3	2023-04-20	1	1.5330000000000001	1.416	3	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	6	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
INTJ-K 3_2	jagode	int	INTJ-K 3	2023-04-20	2	1.561	1.426	6	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	3	3	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0
INTJ-K 3_3	jagode	int	INTJ-K 3	2023-04-20	3	1.602	1.4000000000000001	4	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	2	0	2	24	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
INTJ-K 4	jagode	int	INTJ-K 4	2023-04-20	4	/	/	8	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	1	2	2	11	0	0	1	0	0	0	0	0	0	0	0	9	0	0	0	0	0
CT-K 1_1	njiva	con	CT-K 1	2023-04-06	1	1.724	1.335	14	0	0	0	0	0	0	0	0	0	1	0	0	0	0	13	0	6	3	0	13	0	0	0	0	0	0	0	6	1	2	0	0	0	0	0	0	0
CT-K 1_2	njiva	con	CT-K 1	2023-04-06	2	1.289	1.038	46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	6	0	3	2	5	0	0	0	0	0	1	1	2	0	0	0	0	0	0	0	0	0
CT-K 1_3	njiva	con	CT-K 1	2023-04-06	3	1.458	1.163	149	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	9	0	0	0	0	0	1	0	5	1	2	0	0	0	0	0	0	0
CT-K 2_1	njiva	con	CT-K 2	2023-04-06	1	1.885	1.593	123	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	3	9	11	19	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CT-K 2_2	njiva	con	CT-K 2	2023-04-06	2	1.587	1.306	159	0	0	0	0	0	0	0	0	0	0	0	0	3	0	5	4	2	2	0	6	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0
CT-K 2_3	njiva	con	CT-K 2	2023-04-06	3	1.7650000000000001	1.478	44	0	1	0	0	0	0	0	0	4	0	0	0	0	0	0	3	2	0	7	12	0	0	0	0	0	3	0	2	0	1	0	0	0	0	0	0	0
CT-K 3_1	njiva	con	CT-K 3	2023-04-06	1	1.446	1.216	69	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	19	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0
CT-K 3_2	njiva	con	CT-K 3	2023-04-06	2	1.377	1.158	34	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	4	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
CT-K 3_3	njiva	con	CT-K 3	2023-04-06	3	1.49	1.238	15	0	0	0	0	0	0	0	0	1	0	0	0	0	0	6	0	3	4	8	16	0	0	0	0	2	0	0	2	1	3	0	0	0	0	0	0	0
CT-K 4	njiva	con	CT-K 4	2023-04-06	4	/	/	37	0	0	0	0	0	0	0	0	1	0	0	0	0	0	8	3	1	0	4	6	0	0	1	0	0	0	0	4	0	0	0	0	0	0	0	0	0
MT-K 1_1	njiva	min	MT-K 1	2023-04-05	1	1.586	1.285	366	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	15	11	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0
MT-K 1_2	njiva	min	MT-K 1	2023-04-05	2	1.544	1.212	196	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	54	36	77	150	0	0	0	0	0	0	0	0	15	3	0	0	0	0	0	0	0
MT-K 1_3	njiva	min	MT-K 1	2023-04-05	3	1.704	1.357	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	8	8	5	0	0	0	0	0	0	0	0	8	1	0	0	0	0	0	0	0	0
MT-K 2_1	njiva	min	MT-K 2	2023-04-05	1	1.6300000000000001	1.322	37	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	13	32	14	12	15	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0
MT-K 2_2	njiva	min	MT-K 2	2023-04-05	2	1.736	1.328	11	0	0	0	0	0	0	0	0	0	0	0	2	0	0	10	30	36	42	20	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MT-K 2_3	njiva	min	MT-K 2	2023-04-05	3	1.703	1.352	75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	9	4	7	14	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
MT-K 3_1	njiva	min	MT-K 3	2023-04-05	1	1.743	1.353	184	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	4	12	16	17	1	0	0	0	0	0	0	4	0	5	0	0	0	0	0	0	0
MT-K 3_2	njiva	min	MT-K 3	2023-04-05	2	1.59	1.29	495	0	0	0	0	0	0	0	0	0	0	0	1	0	0	5	0	0	0	4	20	0	0	0	0	0	0	0	0	3	1	0	0	0	1	0	0	0
MT-K 3_3	njiva	min	MT-K 3	2023-04-05	3	1.7630000000000001	1.416	494	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	11	22	19	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MT-K 4	njiva	min	MT-K 4	2023-04-05	4	/	/	96	0	0	0	0	0	0	0	0	1	0	0	0	0	0	7	0	0	4	3	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
NT-K 1_1	njiva	notill	NT-K 1	2023-04-05	1	1.824	1.466	86	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	4	9	9	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
NT-K 1_2	njiva	notill	NT-K 1	2023-04-05	2	1.487	1.235	111	0	0	0	0	0	0	0	0	0	0	0	1	0	0	3	0	10	6	4	21	0	0	0	0	0	0	0	3	0	1	0	0	0	0	0	0	0
NT-K 1_3	njiva	notill	NT-K 1	2023-04-05	3	1.616	1.359	147	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	6	8	7	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0
NT-K 2_1	njiva	notill	NT-K 2	2023-04-05	1	1.597	1.302	128	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	3	5	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	1
NT-K 2_2	njiva	notill	NT-K 2	2023-04-05	2	1.7790000000000001	1.47	45	0	0	0	0	0	0	0	0	1	0	0	0	0	0	4	0	36	48	9	0	0	0	1	0	1	0	0	0	1	2	0	0	0	0	0	0	0
NT-K 2_3	njiva	notill	NT-K 2	2023-04-05	3	1.674	1.329	26	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	6	11	0	4	25	0	0	0	0	1	0	0	3	1	3	0	0	0	0	0	0	0
NT-K 3_1	njiva	notill	NT-K 3	2023-04-05	1	1.745	1.393	17	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	22	25	15	23	12	1	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0
NT-K 3_2	njiva	notill	NT-K 3	2023-04-05	2	1.708	1.399	191	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	7	18	23	11	12	0	0	0	0	2	0	0	17	0	4	0	0	0	0	0	0	0
NT-K 3_3	njiva	notill	NT-K 3	2023-04-05	3	1.719	1.407	264	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	23	13	18	7	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0
NT-K 4	njiva	notill	NT-K 4	2023-04-05	4	/	/	34	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	2	0	3	3	14	0	0	0	0	0	1	0	0	2	1	0	0	0	0	0	0	0
EKOS-K 1_1	sadovnjak	eko	EKOS-K 1	2023-05-23	1	1.678	1.318	20	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	3	0	6	4	3	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0
EKOS-K 1_2	sadovnjak	eko	EKOS-K 1	2023-05-23	2	1.688	1.3	4	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	1	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EKOS-K 1_3	sadovnjak	eko	EKOS-K 1	2023-05-23	3	1.833	1.46	63	0	1	0	0	0	0	0	1	2	5	0	0	0	0	2	7	4	4	8	0	0	0	0	0	0	0	0	2	0	0	0	8	0	1	0	0	0
EKOS-K 2_1	sadovnjak	eko	EKOS-K 2	2023-05-23	1	1.689	1.233	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	2	1	0	0	0	0	0	0	0	1	0	0	0	5	0	0	0	0	0
EKOS-K 2_2	sadovnjak	eko	EKOS-K 2	2023-05-23	2	1.455	1.106	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	2	6	4	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0
EKOS-K 2_3	sadovnjak	eko	EKOS-K 2	2023-05-23	3	1.673	1.311	44	0	1	0	0	0	0	5	4	2	3	2	0	0	0	8	3	0	9	3	0	9	0	0	1	2	0	0	17	5	3	0	0	0	0	0	0	0
EKOS-K 3_1	sadovnjak	eko	EKOS-K 3	2023-05-23	1	1.803	1.436	4	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	4	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EKOS-K 3_2	sadovnjak	eko	EKOS-K 3	2023-05-23	2	1.844	1.486	7	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	5	0	1	0	0	0
EKOS-K 3_3	sadovnjak	eko	EKOS-K 3	2023-05-23	3	1.673	1.341	4	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	3	0	0	5	6	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
EKOS-K 4	sadovnjak	eko	EKOS-K 4	2023-05-23	4	/	/	12	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	3	11	0	2	11	4	0	0	0	0	0	0	8	0	1	0	0	0	1	0	0	0
INTS-K 1_1	sadovnjak	int	INTS-K 1	2023-05-23	1	1.703	1.359	17	0	0	0	0	0	0	0	4	0	0	1	0	0	0	4	3	6	4	0	0	0	0	0	1	0	0	0	1	0	0	0	8	0	2	0	0	0
INTS-K 1_2	sadovnjak	int	INTS-K 1	2023-05-23	2	1.823	1.453	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	14	4	7	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
INTS-K 1_3	sadovnjak	int	INTS-K 1	2023-05-23	3	1.55	1.232	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0
INTS-K 2_1	sadovnjak	int	INTS-K 2	2023-05-23	1	1.729	1.367	4	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	3	8	3	0	4	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0
INTS-K 2_2	sadovnjak	int	INTS-K 2	2023-05-23	2	1.674	1.35	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	3	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0
INTS-K 2_3	sadovnjak	int	INTS-K 2	2023-05-23	3	1.807	1.493	7	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	2	4	0	0	0	0	0	0	0	1	0	0	0	5	0	0	0	0	0
INTS-K 3_1	sadovnjak	int	INTS-K 3	2023-05-23	1	1.752	1.4000000000000001	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	6	0	4	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
INTS-K 3_2	sadovnjak	int	INTS-K 3	2023-05-23	2	1.818	1.466	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
INTS-K 3_3	sadovnjak	int	INTS-K 3	2023-05-23	3	1.964	1.6260000000000001	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	1	0	1	5	0	0	0	1	0	0	1	0	0	0	2	0	0	0	0	0
INTS-K 4	sadovnjak	int	INTS-K 4	2023-05-23	4	/	/	54	0	0	0	0	0	0	0	1	0	1	0	1	0	0	3	0	3	0	0	4	2	0	0	0	0	0	0	1	0	1	0	73	0	0	0	0	0
